unit_price,avg_comp_price,price_premium,price_vs_comp1,price_vs_comp2,price_vs_comp3,is_anomaly
84.99,57.656666666666666,1.474070648089264,61.0,-5.0,25.999999999999993,False
84.99,57.656666666666666,1.474070648089264,61.0,-5.0,25.999999999999993,False
84.99,57.656666666666666,1.474070648089264,61.0,-5.0,25.999999999999993,False
84.99,55.57333333333333,1.5293306142034548,61.0,1.25,25.999999999999993,False
84.99,54.32333333333333,1.5645210774989262,61.0,5.0,25.999999999999993,False
179.99,179.99,1.0,0.0,0.0,0.0,False
179.99,179.99,1.0,0.0,0.0,0.0,False
179.99,59.9,3.0048414023372287,120.09,120.09,120.09,False
179.99,59.9,3.0048414023372287,120.09,120.09,120.09,False
179.99,53.28031332666666,3.3781708244931714,127.58305556000002,126.34171875000001,126.20428571000001,False
183.99,55.425000000000004,3.319621109607578,128.89000000000001,128.565,128.24,False
187.8542857,49.9,3.7646149438877754,137.95428569999999,137.95428569999999,137.95428569999999,True
179.0,50.60076805,3.537495711984554,128.45483871,128.1,128.64285714,False
175.1538462,53.9,3.249607536178108,121.2538462,121.2538462,121.2538462,False
179.0,53.9,3.320964749536178,125.1,125.1,125.1,False
179.0,53.39419002333333,3.3524246724555007,125.58484848,125.29047618999999,125.94210526,False
159.0,49.9,3.1863727454909823,109.1,109.1,109.1,False
